Division,Week,Date,Home Team,Away Team
Division 1,16,2024-02-01 08:00 PM,Club 6,Club 8
Division 1,16,2024-02-01 08:00 PM,Club 6,Club 9
Division 1,17,2024-02-08 08:00 PM,Club 1,Club 2
Division 1,17,2024-02-08 08:00 PM,Club 3,Club 4
Division 1,17,2024-02-08 08:00 PM,Club 4,Club 5
Division 1,17,2024-02-08 08:00 PM,Club 6,Club 7
Division 1,17,2024-02-08 08:00 PM,Club 6,Club 8
Division 1,17,2024-02-08 08:00 PM,Club 6,Club 9
Division 1,18,2024-02-15 08:00 PM,Club 1,Club 2
Division 1,18,2024-02-15 08:00 PM,Club 3,Club 4
Division 1,18,2024-02-15 08:00 PM,Club 4,Club 5
Division 1,18,2024-02-15 08:00 PM,Club 6,Club 7
Division 1,18,2024-02-15 08:00 PM,Club 6,Club 8
Division 1,18,2024-02-15 08:00 PM,Club 6,Club 9
Division 1,19,2024-02-22 08:00 PM,Club 1,Club 2
Division 1,19,2024-02-22 08:00 PM,Club 3,Club 4
Division 1,19,2024-02-22 08:00 PM,Club 4,Club 5
Division 1,19,2024-02-22 08:00 PM,Club 6,Club 7
Division 1,19,2024-02-22 08:00 PM,Club 6,Club 8
Division 1,19,2024-02-22 08:00 PM,Club 6,Club 9
Division 1,20,2024-02-29 08:00 PM,Club 1,Club 2
Division 1,20,2024-02-29 08:00 PM,Club 3,Club 4
Division 1,20,2024-02-29 08:00 PM,Club 4,Club 5
Division 1,20,2024-02-29 08:00 PM,Club 6,Club 7
Division 1,20,2024-02-29 08:00 PM,Club 6,Club 8
Division 1,20,2024-02-29 08:00 PM,Club 6,Club 9
Division 1,21,2024-03-07 08:00 PM,Club 1,Club 2
Division 1,21,2024-03-07 08:00 PM,Club 3,Club 4
Division 1,21,2024-03-07 08:00 PM,Club 4,Club 5
Division 1,21,2024-03-07 08:00 PM,Club 6,Club 7
Division 1,21,2024-03-07 08:00 PM,Club 6,Club 8
Division 1,21,2024-03-07 08:00 PM,Club 6,Club 9
Division 1,22,2024-03-14 08:00 PM,Club 1,Club 2
Division 1,22,2024-03-14 08:00 PM,Club 3,Club 4
Division 1,22,2024-03-14 08:00 PM,Club 4,Club 5
Division 1,22,2024-03-14 08:00 PM,Club 6,Club 7
Division 1,22,2024-03-14 08:00 PM,Club 6,Club 8
Division 1,22,2024-03-14 08:00 PM,Club 6,Club 9
Division 1,23,2024-03-21 08:00 PM,Club 1,Club 2
Division 1,23,2024-03-21 08:00 PM,Club 3,Club 4
Division 1,23,2024-03-21 08:00 PM,Club 4,Club 5
Division 1,23,2024-03-21 08:00 PM,Club 6,Club 7
Division 1,23,2024-03-21 08:00 PM,Club 6,Club 8
Division 1,23,2024-03-21 08:00 PM,Club 6,Club 9
Division 1,24,2024-03-28 08:00 PM,Club 1,Club 2
Division 1,24,2024-03-28 08:00 PM,Club 3,Club 4
Division 1,24,2024-03-28 08:00 PM,Club 4,Club 5
Division 1,24,2024-03-28 08:00 PM,Club 6,Club 7
Division 1,24,2024-03-28 08:00 PM,Club 6,Club 8
Division 1,24,2024-03-28 08:00 PM,Club 6,Club 9
Division 1,25,2024-04-04 08:00 PM,Club 1,Club 2
Division 1,25,2024-04-04 08:00 PM,Club 3,Club 4
Division 1,25,2024-04-04 08:00 PM,Club 4,Club 5
Division 1,25,2024-04-04 08:00 PM,Club 6,Club 7
Division 1,25,2024-04-04 08:00 PM,Club 6,Club 8
Division 1,25,2024-04-04 08:00 PM,Club 6,Club 9
Division 1,26,2024-04-11 08:00 PM,Club 1,Club 2
Division 1,26,2024-04-11 08:00 PM,Club 3,Club 4
Division 1,26,2024-04-11 08:00 PM,Club 4,Club 5
Division 1,26,2024-04-11 08:00 PM,Club 6,Club 7
Division 1,26,2024-04-11 08:00 PM,Club 6,Club 8
Division 1,26,2024-04-11 08:00 PM,Club 6,Club 9
Division 1,27,2024-04-18 08:00 PM,Club 1,Club 2
Division 1,27,2024-04-18 08:00 PM,Club 3,Club 4
Division 1,27,2024-04-18 08:00 PM,Club 4,Club 5
Division 1,27,2024-04-18 08:00 PM,Club 6,Club 7
Division 1,27,2024-04-18 08:00 PM,Club 6,Club 8
Division 1,27,2024-04-18 08:00 PM,Club 6,Club 9
Division 1,28,2024-04-25 08:00 PM,Club 1,Club 2
Division 1,28,2024-04-25 08:00 PM,Club 3,Club 4
Division 1,28,2024-04-25 08:00 PM,Club 4,Club 5
Division 1,28,2024-04-25 08:00 PM,Club 6,Club 7
Division 1,28,2024-04-25 08:00 PM,Club 6,Club 8
Division 1,28,2024-04-25 08:00 PM,Club 6,Club 9
Division 1,29,2024-05-02 08:00 PM,Club 1,Club 2
Division 1,29,2024-05-02 08:00 PM,Club 3,Club 4
Division 1,29,2024-05-02 08:00 PM,Club 4,Club 5
Division 1,29,2024-05-02 08:00 PM,Club 6,Club 7
Division 1,29,2024-05-02 08:00 PM,Club 6,Club 8
Division 1,29,2024-05-02 08:00 PM,Club 6,Club 9
Division 1,30,2024-05-09 08:00 PM,Club 1,Club 2
Division 1,30,2024-05-09 08:00 PM,Club 3,Club 4
Division 1,30,2024-05-09 08:00 PM,Club 4,Club 5
Division 1,30,2024-05-09 08:00 PM,Club 6,Club 7
Division 1,30,2024-05-09 08:00 PM,Club 6,Club 8
Division 1,30,2024-05-09 08:00 PM,Club 6,Club 9
Division 1,31,2024-05-16 08:00 PM,Club 1,Club 2
Division 1,31,2024-05-16 08:00 PM,Club 3,Club 4
Division 1,31,2024-05-16 08:00 PM,Club 4,Club 5
Division 1,31,2024-05-16 08:00 PM,Club 6,Club 7
Division 1,31,2024-05-16 08:00 PM,Club 6,Club 8
Division 1,31,2024-05-16 08:00 PM,Club 6,Club 9
Division 1,32,2024-05-23 08:00 PM,Club 1,Club 2
Division 1,32,2024-05-23 08:00 PM,Club 3,Club 4
Division 1,32,2024-05-23 08:00 PM,Club 4,Club 5
Division 1,32,2024-05-23 08:00 PM,Club 6,Club 7
Division 1,32,2024-05-23 08:00 PM,Club 6,Club 8
Division 1,32,2024-05-23 08:00 PM,Club 6,Club 9
Division 1,33,2024-05-30 08:00 PM,Club 1,Club 2
Division 1,33,2024-05-30 08:00 PM,Club 3,Club 4
Division 1,33,2024-05-30 08:00 PM,Club 4,Club 5
Division 1,33,2024-05-30 08:00 PM,Club 6,Club 7
Division 1,33,2024-05-30 08:00 PM,Club 6,Club 8
Division 1,33,2024-05-30 08:00 PM,Club 6,Club 9
Division 1,34,2024-06-06 08:00 PM,Club 1,Club 2
Division 1,34,2024-06-06 08:00 PM,Club 3,Club 4
Division 1,34,2024-06-06 08:00 PM,Club 4,Club 5
Division 1,34,2024-06-06 08:00 PM,Club 6,Club 7
Division 1,34,2024-06-06 08:00 PM,Club 6,Club 8
Division 1,34,2024-06-06 08:00 PM,Club 6,Club 9
Division 2,1,2023-09-07 08:00 PM,Club 10,Club 11
Division 2,1,2023-09-07 08:00 PM,Club 12,Club 13
Division 2,1,2023-09-07 08:00 PM,Club 12,Club 4
Division 2,1,2023-09-07 08:00 PM,Club 4,Club 6
Division 2,1,2023-09-07 08:00 PM,Club 6,Club 14
Division 2,1,2023-09-07 08:00 PM,Club 6,Club 15
Division 2,2,2023-09-14 08:00 PM,Club 10,Club 11
Division 2,2,2023-09-14 08:00 PM,Club 12,Club 13
Division 2,2,2023-09-14 08:00 PM,Club 12,Club 4
Division 2,2,2023-09-14 08:00 PM,Club 4,Club 6
Division 2,2,2023-09-14 08:00 PM,Club 6,Club 14
Division 2,2,2023-09-14 08:00 PM,Club 6,Club 15
Division 2,3,2023-09-21 08:00 PM,Club 10,Club 11
Division 2,3,2023-09-21 08:00 PM,Club 12,Club 13
Division 2,3,2023-09-21 08:00 PM,Club 12,Club 4
Division 2,3,2023-09-21 08:00 PM,Club 4,Club 6
Division 2,3,2023-09-21 08:00 PM,Club 6,Club 14
Division 2,3,2023-09-21 08:00 PM,Club 6,Club 15
Division 2,4,2023-09-28 08:00 PM,Club 10,Club 11
Division 2,4,2023-09-28 08:00 PM,Club 12,Club 13
Division 2,4,2023-09-28 08:00 PM,Club 12,Club 4
Division 2,4,2023-09-28 08:00 PM,Club 4,Club 6
Division 2,4,2023-09-28 08:00 PM,Club 6,Club 14
Division 2,4,2023-09-28 08:00 PM,Club 6,Club 15
Division 2,5,2023-10-05 08:00 PM,Club 10,Club 11
Division 2,5,2023-10-05 08:00 PM,Club 12,Club 13
Division 2,5,2023-10-05 08:00 PM,Club 12,Club 4
Division 2,5,2023-10-05 08:00 PM,Club 4,Club 6
Division 2,5,2023-10-05 08:00 PM,Club 6,Club 14
Division 2,5,2023-10-05 08:00 PM,Club 6,Club 15
Division 2,6,2023-10-12 08:00 PM,Club 10,Club 11
Division 2,6,2023-10-12 08:00 PM,Club 12,Club 13
Division 2,6,2023-10-12 08:00 PM,Club 12,Club 4
Division 2,6,2023-10-12 08:00 PM,Club 4,Club 6
Division 2,6,2023-10-12 08:00 PM,Club 6,Club 14
Division 2,6,2023-10-12 08:00 PM,Club 6,Club 15
Division 2,7,2023-10-19 08:00 PM,Club 10,Club 11
Division 2,7,2023-10-19 08:00 PM,Club 12,Club 13
Division 2,7,2023-10-19 08:00 PM,Club 12,Club 4
Division 2,7,2023-10-19 08:00 PM,Club 4,Club 6
Division 2,7,2023-10-19 08:00 PM,Club 6,Club 14
Division 2,7,2023-10-19 08:00 PM,Club 6,Club 15
Division 2,8,2023-10-26 08:00 PM,Club 10,Club 11
Division 2,8,2023-10-26 08:00 PM,Club 12,Club 13
Division 2,8,2023-10-26 08:00 PM,Club 12,Club 4
Division 2,8,2023-10-26 08:00 PM,Club 4,Club 6
Division 2,8,2023-10-26 08:00 PM,Club 6,Club 14
Division 2,8,2023-10-26 08:00 PM,Club 6,Club 15
Division 2,9,2023-11-02 08:00 PM,Club 10,Club 11
Division 2,9,2023-11-02 08:00 PM,Club 12,Club 13
Division 2,9,2023-11-02 08:00 PM,Club 12,Club 4
Division 2,9,2023-11-02 08:00 PM,Club 4,Club 6
Division 2,9,2023-11-02 08:00 PM,Club 6,Club 14
Division 2,9,2023-11-02 08:00 PM,Club 6,Club 15
Division 2,10,2023-11-09 08:00 PM,Club 10,Club 11
Division 2,10,2023-11-09 08:00 PM,Club 12,Club 13
Division 2,10,2023-11-09 08:00 PM,Club 12,Club 4
Division 2,10,2023-11-09 08:00 PM,Club 4,Club 6
Division 2,10,2023-11-09 08:00 PM,Club 6,Club 14
Division 2,10,2023-11-09 08:00 PM,Club 6,Club 15
Division 2,11,2023-11-16 08:00 PM,Club 10,Club 11
Division 2,11,2023-11-16 08:00 PM,Club 12,Club 13
Division 2,11,2023-11-16 08:00 PM,Club 12,Club 4
Division 2,11,2023-11-16 08:00 PM,Club 4,Club 6
Division 2,11,2023-11-16 08:00 PM,Club 6,Club 14
Division 2,11,2023-11-16 08:00 PM,Club 6,Club 15
Division 2,12,2023-11-23 08:00 PM,Club 10,Club 11
Division 2,12,2023-11-23 08:00 PM,Club 12,Club 13
Division 2,12,2023-11-23 08:00 PM,Club 12,Club 4
Division 2,12,2023-11-23 08:00 PM,Club 4,Club 6
Division 2,12,2023-11-23 08:00 PM,Club 6,Club 14
Division 2,12,2023-11-23 08:00 PM,Club 6,Club 15
Division 2,13,2023-11-30 08:00 PM,Club 10,Club 11
Division 2,13,2023-11-30 08:00 PM,Club 12,Club 13
Division 2,13,2023-11-30 08:00 PM,Club 12,Club 4
Division 2,13,2023-11-30 08:00 PM,Club 4,Club 6
Division 2,13,2023-11-30 08:00 PM,Club 6,Club 14
Division 2,13,2023-11-30 08:00 PM,Club 6,Club 15
Division 2,14,2023-12-07 08:00 PM,Club 10,Club 11
Division 2,14,2023-12-07 08:00 PM,Club 12,Club 13
Division 2,14,2023-12-07 08:00 PM,Club 12,Club 4
Division 2,14,2023-12-07 08:00 PM,Club 4,Club 6
Division 2,14,2023-12-07 08:00 PM,Club 6,Club 14
Division 2,14,2023-12-07 08:00 PM,Club 6,Club 15
Division 2,15,2024-01-25 08:00 PM,Club 10,Club 11
Division 2,15,2024-01-25 08:00 PM,Club 12,Club 13
Division 2,15,2024-01-25 08:00 PM,Club 12,Club 4
Division 2,15,2024-01-25 08:00 PM,Club 4,Club 6
Division 2,15,2024-01-25 08:00 PM,Club 6,Club 14
Division 2,15,2024-01-25 08:00 PM,Club 6,Club 15
Division 2,16,2024-02-01 08:00 PM,Club 10,Club 11
Division 2,16,2024-02-01 08:00 PM,Club 12,Club 13
Division 2,16,2024-02-01 08:00 PM,Club 12,Club 4
Division 2,16,2024-02-01 08:00 PM,Club 4,Club 6
Division 2,16,2024-02-01 08:00 PM,Club 6,Club 14
Division 2,16,2024-02-01 08:00 PM,Club 6,Club 15
Division 2,17,2024-02-08 08:00 PM,Club 10,Club 11
Division 2,17,2024-02-08 08:00 PM,Club 12,Club 13
Division 2,17,2024-02-08 08:00 PM,Club 12,Club 4
Division 2,17,2024-02-08 08:00 PM,Club 4,Club 6
Division 2,17,2024-02-08 08:00 PM,Club 6,Club 14
Division 2,17,2024-02-08 08:00 PM,Club 6,Club 15
Division 2,18,2024-02-15 08:00 PM,Club 10,Club 11
Division 2,18,2024-02-15 08:00 PM,Club 12,Club 13
Division 2,18,2024-02-15 08:00 PM,Club 12,Club 4
Division 2,18,2024-02-15 08:00 PM,Club 4,Club 6
Division 2,18,2024-02-15 08:00 PM,Club 6,Club 14
Division 2,18,2024-02-15 08:00 PM,Club 6,Club 15
Division 2,19,2024-02-22 08:00 PM,Club 10,Club 11
Division 2,19,2024-02-22 08:00 PM,Club 12,Club 13
Division 2,19,2024-02-22 08:00 PM,Club 12,Club 4
Division 2,19,2024-02-22 08:00 PM,Club 4,Club 6
Division 2,19,2024-02-22 08:00 PM,Club 6,Club 14
Division 2,19,2024-02-22 08:00 PM,Club 6,Club 15
Division 2,20,2024-02-29 08:00 PM,Club 10,Club 11
Division 2,20,2024-02-29 08:00 PM,Club 12,Club 13
Division 2,20,2024-02-29 08:00 PM,Club 12,Club 4
Division 2,20,2024-02-29 08:00 PM,Club 4,Club 6
Division 2,20,2024-02-29 08:00 PM,Club 6,Club 14
Division 2,20,2024-02-29 08:00 PM,Club 6,Club 15
Division 2,21,2024-03-07 08:00 PM,Club 10,Club 11
Division 2,21,2024-03-07 08:00 PM,Club 12,Club 13
Division 2,21,2024-03-07 08:00 PM,Club 12,Club 4
Division 2,21,2024-03-07 08:00 PM,Club 4,Club 6
Division 2,21,2024-03-07 08:00 PM,Club 6,Club 14
Division 2,21,2024-03-07 08:00 PM,Club 6,Club 15
Division 2,22,2024-03-14 08:00 PM,Club 10,Club 11
Division 2,22,2024-03-14 08:00 PM,Club 12,Club 13
Division 2,22,2024-03-14 08:00 PM,Club 12,Club 4
Division 2,22,2024-03-14 08:00 PM,Club 4,Club 6
Division 2,22,2024-03-14 08:00 PM,Club 6,Club 14
Division 2,22,2024-03-14 08:00 PM,Club 6,Club 15
Division 2,23,2024-03-21 08:00 PM,Club 10,Club 11
Division 2,23,2024-03-21 08:00 PM,Club 12,Club 13
Division 2,23,2024-03-21 08:00 PM,Club 12,Club 4
Division 2,23,2024-03-21 08:00 PM,Club 4,Club 6
Division 2,23,2024-03-21 08:00 PM,Club 6,Club 14
Division 2,23,2024-03-21 08:00 PM,Club 6,Club 15
Division 2,24,2024-03-28 08:00 PM,Club 10,Club 11
Division 2,24,2024-03-28 08:00 PM,Club 12,Club 13
Division 2,24,2024-03-28 08:00 PM,Club 12,Club 4
Division 2,24,2024-03-28 08:00 PM,Club 4,Club 6
Division 2,24,2024-03-28 08:00 PM,Club 6,Club 14
Division 2,24,2024-03-28 08:00 PM,Club 6,Club 15
Division 2,25,2024-04-04 08:00 PM,Club 10,Club 11
Division 2,25,2024-04-04 08:00 PM,Club 12,Club 13
Division 2,25,2024-04-04 08:00 PM,Club 12,Club 4
Division 2,25,2024-04-04 08:00 PM,Club 4,Club 6
Division 2,25,2024-04-04 08:00 PM,Club 6,Club 14
Division 2,25,2024-04-04 08:00 PM,Club 6,Club 15
Division 2,26,2024-04-11 08:00 PM,Club 10,Club 11
Division 2,26,2024-04-11 08:00 PM,Club 12,Club 13
Division 2,26,2024-04-11 08:00 PM,Club 12,Club 4
Division 2,26,2024-04-11 08:00 PM,Club 4,Club 6
Division 2,26,2024-04-11 08:00 PM,Club 6,Club 14
Division 2,26,2024-04-11 08:00 PM,Club 6,Club 15
Division 2,27,2024-04-18 08:00 PM,Club 10,Club 11
Division 2,27,2024-04-18 08:00 PM,Club 12,Club 13
Division 2,27,2024-04-18 08:00 PM,Club 12,Club 4
Division 2,27,2024-04-18 08:00 PM,Club 4,Club 6
Division 2,27,2024-04-18 08:00 PM,Club 6,Club 14
Division 2,27,2024-04-18 08:00 PM,Club 6,Club 15
Division 2,28,2024-04-25 08:00 PM,Club 10,Club 11
Division 2,28,2024-04-25 08:00 PM,Club 12,Club 13
Division 2,28,2024-04-25 08:00 PM,Club 12,Club 4
Division 2,28,2024-04-25 08:00 PM,Club 4,Club 6
Division 2,28,2024-04-25 08:00 PM,Club 6,Club 14
Division 2,28,2024-04-25 08:00 PM,Club 6,Club 15
Division 2,29,2024-05-02 08:00 PM,Club 10,Club 11
Division 2,29,2024-05-02 08:00 PM,Club 12,Club 13
Division 2,29,2024-05-02 08:00 PM,Club 12,Club 4
Division 2,29,2024-05-02 08:00 PM,Club 4,Club 6
Division 2,29,2024-05-02 08:00 PM,Club 6,Club 14
Division 2,29,2024-05-02 08:00 PM,Club 6,Club 15
Division 2,30,2024-05-09 08:00 PM,Club 10,Club 11
Division 2,30,2024-05-09 08:00 PM,Club 12,Club 13
Division 2,30,2024-05-09 08:00 PM,Club 12,Club 4
Division 2,30,2024-05-09 08:00 PM,Club 4,Club 6
Division 2,30,2024-05-09 08:00 PM,Club 6,Club 14
Division 2,30,2024-05-09 08:00 PM,Club 6,Club 15
Division 2,31,2024-05-16 08:00 PM,Club 10,Club 11
Division 2,31,2024-05-16 08:00 PM,Club 12,Club 13
Division 2,31,2024-05-16 08:00 PM,Club 12,Club 4
Division 2,31,2024-05-16 08:00 PM,Club 4,Club 6
Division 2,31,2024-05-16 08:00 PM,Club 6,Club 14
Division 2,31,2024-05-16 08:00 PM,Club 6,Club 15
Division 2,32,2024-05-23 08:00 PM,Club 10,Club 11
Division 2,32,2024-05-23 08:00 PM,Club 12,Club 13
Division 2,32,2024-05-23 08:00 PM,Club 12,Club 4
Division 2,32,2024-05-23 08:00 PM,Club 4,Club 6
Division 2,32,2024-05-23 08:00 PM,Club 6,Club 14
Division 2,32,2024-05-23 08:00 PM,Club 6,Club 15
Division 2,33,2024-05-30 08:00 PM,Club 10,Club 11
Division 2,33,2024-05-30 08:00 PM,Club 12,Club 13
Division 2,33,2024-05-30 08:00 PM,Club 12,Club 4
Division 2,33,2024-05-30 08:00 PM,Club 4,Club 6
Division 2,33,2024-05-30 08:00 PM,Club 6,Club 14
Division 2,33,2024-05-30 08:00 PM,Club 6,Club 15
Division 2,34,2024-06-06 08:00 PM,Club 10,Club 11
Division 2,34,2024-06-06 08:00 PM,Club 12,Club 13
Division 2,34,2024-06-06 08:00 PM,Club 12,Club 4
Division 2,34,2024-06-06 08:00 PM,Club 4,Club 6
Division 2,34,2024-06-06 08:00 PM,Club 6,Club 14
Division 2,34,2024-06-06 08:00 PM,Club 6,Club 15
